"filename", "language", "JSON", "JSON with Comments", "JavaScript", "SCSS", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-scheduled-tab\mis-report-scheduled-tab.component.scss", "SCSS", 0, 0, 0, 137, 0, 0, 0, 63, 33, 233
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-mis-reports\mis-report-scheduled-tab\mis-report-scheduled-tab.component.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 1, 7, 74
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-rule-engine-dashboard\admin-rule-engine-dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 212, 0, 36, 20, 268
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-rule-engine-dashboard\admin-rule-engine-dashboard.component.scss", "SCSS", 0, 0, 0, 503, 0, 0, 0, 42, 88, 633
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-rule-engine-dashboard\admin-rule-engine-dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 213, 0, 0, 8, 28, 249
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-sidebar\admin-sidebar.component.scss", "SCSS", 0, 0, 0, 137, 0, 0, 0, 144, 45, 326
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-sidebar\admin-sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 3, 62
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-topbar\admin-topbar.component.scss", "SCSS", 0, 0, 0, 61, 0, 0, 0, 0, 9, 70
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-topbar\admin-topbar.component.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-user-management\admin-user-management.component.html", "HTML", 0, 0, 0, 0, 0, 151, 0, 4, 11, 166
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-user-management\admin-user-management.component.scss", "SCSS", 0, 0, 0, 310, 0, 0, 0, 5, 54, 369
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-user-management\admin-user-management.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 6, 24
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin-user-management\admin-user-management.component.ts", "TypeScript", 0, 0, 0, 0, 204, 0, 0, 4, 28, 236
"d:\CMS\CMS-15\frontend\src\app\features\admin\admin.routes.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 2, 55
"d:\CMS\CMS-15\frontend\src\app\features\admin\rule-engine-rule-detail-dialog\rule-engine-rule-detail-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 230, 0, 0, 0, 8, 238
"d:\CMS\CMS-15\frontend\src\app\features\auth\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 67, 0, 0, 3, 70
"d:\CMS\CMS-15\frontend\src\app\features\auth\login\login.component.scss", "SCSS", 0, 0, 0, 112, 0, 0, 0, 1, 19, 132
"d:\CMS\CMS-15\frontend\src\app\features\auth\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 7, 83
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-broadcast-review\checker-broadcast-review.component.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-broadcast-review\checker-broadcast-review.component.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 3, 4
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-broadcast-review\checker-broadcast-review.component.ts", "TypeScript", 0, 0, 0, 0, 147, 0, 0, 0, 9, 156
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-broadcasts-queue\checker-broadcasts-queue.component.ts", "TypeScript", 0, 0, 0, 0, 106, 0, 0, 0, 3, 109
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-dashboard\checker-dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 4, 67
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-dashboard\checker-dashboard.component.scss", "SCSS", 0, 0, 0, 114, 0, 0, 0, 0, 19, 133
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-dashboard\checker-dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-layout\checker-layout.component.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-layout\checker-layout.component.ts", "TypeScript", 0, 0, 0, 0, 68, 0, 0, 1, 8, 77
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-rule-review\checker-rule-review.component.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-rule-review\checker-rule-review.component.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-rule-review\checker-rule-review.component.ts", "TypeScript", 0, 0, 0, 0, 144, 0, 0, 0, 8, 152
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-rules-queue\checker-rules-queue.component.ts", "TypeScript", 0, 0, 0, 0, 106, 0, 0, 0, 3, 109
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-sidebar\checker-sidebar.component.scss", "SCSS", 0, 0, 0, 146, 0, 0, 0, 148, 47, 341
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-sidebar\checker-sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 4, 67
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-topbar\checker-topbar.component.scss", "SCSS", 0, 0, 0, 87, 0, 0, 0, 0, 10, 97
"d:\CMS\CMS-15\frontend\src\app\features\checker\checker-topbar\checker-topbar.component.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 4, 49
"d:\CMS\CMS-15\frontend\src\app\features\checker\consent-review\consent-review.component.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 1, 8, 86
"d:\CMS\CMS-15\frontend\src\app\features\checker\consent-review\consent-review.component.scss", "SCSS", 0, 0, 0, 237, 0, 0, 0, 7, 44, 288
"d:\CMS\CMS-15\frontend\src\app\features\checker\consent-review\consent-review.component.ts", "TypeScript", 0, 0, 0, 0, 198, 0, 0, 1, 10, 209
"d:\CMS\CMS-15\frontend\src\app\features\checker\pending-approvals\pending-approvals.component.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 0, 3, 59
"d:\CMS\CMS-15\frontend\src\app\features\checker\pending-approvals\pending-approvals.component.scss", "SCSS", 0, 0, 0, 126, 0, 0, 0, 0, 24, 150
"d:\CMS\CMS-15\frontend\src\app\features\checker\pending-approvals\pending-approvals.component.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 1, 10, 115
"d:\CMS\CMS-15\frontend\src\app\features\checker\review-history\review-history.component.html", "HTML", 0, 0, 0, 0, 0, 83, 0, 110, 15, 208
"d:\CMS\CMS-15\frontend\src\app\features\checker\review-history\review-history.component.scss", "SCSS", 0, 0, 0, 218, 0, 0, 0, 0, 35, 253
