Date : 2026-05-21 17:52:44
Directory : d:\CMS\CMS-15\frontend
Total : 391 files,  321630 codes, 31226 comments, 4597 blanks, all 357453 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_progress-spinner.js                                               | JavaScript         |        314 |         29 |          2 |        345 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_radio.js                                                          | JavaScript         |        817 |        123 |          2 |        942 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_select.js                                                         | JavaScript         |      1,471 |        252 |          3 |      1,726 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_table.js                                                          | JavaScript         |      3,312 |        621 |          3 |      3,936 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_tabs.js                                                           | JavaScript         |      2,737 |        378 |          2 |      3,117 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_tooltip.js                                                        | JavaScript         |      1,004 |        109 |          3 |      1,116 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_platform-browser.js                                                        | JavaScript         |         87 |          0 |          1 |         88 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_platform-browser_animations.js                                             | JavaScript         |      4,367 |         84 |          5 |      4,456 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_router.js                                                                  | JavaScript         |      5,339 |        654 |          4 |      5,997 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@ngrx_store.js                                                                      | JavaScript         |      1,359 |         41 |          3 |      1,403 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_core.js                                                                     | JavaScript         |        254 |          0 |          1 |        255 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-bold.js                                                           | JavaScript         |        126 |          3 |          3 |        132 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-bullet-list.js                                                    | JavaScript         |         10 |          2 |          2 |         14 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-document.js                                                       | JavaScript         |         20 |          2 |          2 |         24 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-hard-break.js                                                     | JavaScript         |         89 |          2 |          2 |         93 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-heading.js                                                        | JavaScript         |        101 |          2 |          2 |        105 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-history.js                                                        | JavaScript         |         10 |          2 |          2 |         14 |
| d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-image.js                                                          | JavaScript         |        175 |          2 |          2 |        179 |
